i	f_sup	f_swg	f_swg_id	traj_params	h_max
6557	[-0.17339105229888319, 0.006269117169622529, 0.20000000298023224, 3.3415926535897933]	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-39.34426229508197, 6.145770236779007]	0.24
6558	[-0.23339105229888318, 0.05626911716962252, 0.20000000298023224, 2.941592653589793]	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-157.37704918032787, 12.291540473558014]	0.24
6559	[-0.23339105229888318, 0.006269117169622529, 0.20000000298023224, 2.941592653589793]	[-0.2333910522988832, -0.19373088283037748, 0.20000000298023224, 3.141592653589793]	Left	[-70.58823529411767, 8.231932086840425]	0.24
6560	[-0.28305838499764857, -0.23874752729068788, 0.20000000298023224, 2.941592653589793]	[-0.23339105229888318, 0.006269117169622529, 0.20000000298023224, 2.941592653589793]	Right	[-213.64942928409403, 14.321433312093111]	0.24
6561	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	[-0.2933910522988832, 0.1062691171696225, 0.20000000298023224, 3.141592653589793]	Right	[-149.99999999999991, 11.999999999999996]	0.24
6562	[-0.23259424773083925, 0.16220925036969863, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-140.6480074566603, 11.619900479711257]	0.24
6563	[-0.2524611808103454, 0.06420259258557454, 0.20000000298023224, 2.941592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-278.6771186201579, 16.356345370386123]	0.24
6564	[-0.2717969108444889, 0.17015602360150112, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-211.0890459214143, 14.235360342631223]	0.24
6565	[-0.24252771427059233, 0.11320592147763658, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-364.2989448460549, 18.700988932465915]	0.24
6566	[-0.1936571861398709, 0.05228243273787084, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-74.64191616637319, 8.46500085763246]	0.24
6567	[-0.23259424773083925, 0.16220925036969863, 0.20000000298023224, 2.7415926535897928]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-140.6480074566603, 11.619900479711257]	0.24
6568	[-0.2746851736678289, -0.09142109866954162, 0.20000000298023224, 2.7415926535897928]	[-0.23259424773083925, 0.16220925036969863, 0.20000000298023224, 2.7415926535897928]	Right	[-216.1423199519565, 14.40474321721419]	0.24
6569	[-0.2717969108444889, 0.17015602360150112, 0.20000000298023224, 2.941592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-211.0890459214143, 14.235360342631223]	0.24
6570	[-0.12491972492964333, 0.08936560178222921, 0.20000000298023224, 3.141592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-33.48644431190432, 5.6698312619890325]	0.24
6571	[-0.2524611808103454, 0.06420259258557454, 0.20000000298023224, 2.7415926535897928]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-278.6771186201579, 16.356345370386123]	0.24
6572	[-0.281730377384242, 0.12115269470943907, 0.20000000298023224, 2.941592653589793]	[-0.2333910522988832, -0.1437308828303775, 0.20000000298023224, 2.941592653589793]	Left	[-2685.373126179828, 50.773597480704815]	0.24
6573	[-0.28252718195228593, -0.18478743849063706, 0.20000000298023224, 2.941592653589793]	[-0.281730377384242, 0.12115269470943907, 0.20000000298023224, 2.941592653589793]	Right	[-234.14634146341496, 14.992681141306191]	0.24
6574	[-0.18398932112279914, -0.0006942827700924248, 0.20000000298023224, 2.7415926535897928]	[-0.28252718195228593, -0.18478743849063706, 0.20000000298023224, 2.941592653589793]	Left	[-39.34426229508197, 6.145770236779007]	0.24
6575	[-0.164122388043293, 0.09731237501403173, 0.20000000298023224, 2.941592653589793]	[-0.28252718195228593, -0.18478743849063706, 0.20000000298023224, 2.941592653589793]	Left	[-66.66666666666664, 7.999999999999999]	0.24
6576	[-0.26266024887277983, -0.08678078070651296, 0.20000000298023224, 2.7415926535897928]	[-0.281730377384242, 0.12115269470943907, 0.20000000298023224, 2.941592653589793]	Right	[-234.1463414634145, 14.992681141306178]	0.24
6577	[-0.27478328534058843, 0.24405608541756363, 0.20000000298023224, 2.941592653589793]	[-0.26266024887277983, -0.08678078070651296, 0.20000000298023224, 2.7415926535897928]	Left	[-63.35167778546549, 7.798564654732745]	0.24
