i	f_sup	f_swg	f_swg_id	traj_h
1647	[-1.1702518527067831, -1.178018674330533, 0.0020500000937317964, -2.029203673205103]	[-1.3147877769972465, -0.9059720485666733, 0.0020500000937317964, -2.029203673205103]	Right	0.02
1648	[-1.4115563980348917, -1.215060763958343, 0.0020500000937317964, -2.2292036732051033]	[-1.1702518527067831, -1.178018674330533, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1649	[-1.363497276021698, -1.4798065302914818, 0.0020500000937317964, -2.029203673205103]	[-1.4115563980348917, -1.215060763958343, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1650	[-1.5162977326908362, -1.3374969366524625, 0.0020500000937317964, -2.2292036732051033]	[-1.363497276021698, -1.4798065302914818, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1651	[-1.4192899794022247, -1.538965286032448, 0.0020500000937317964, -2.4292036732051034]	[-1.5162977326908362, -1.3374969366524625, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1652	[-1.659076027519633, -1.4008559022830749, 0.0020500000937317964, -2.2292036732051033]	[-1.363497276021698, -1.4798065302914818, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1653	[-1.5008824851367497, -1.5232274804716186, 0.0020500000937317964, -2.029203673205103]	[-1.659076027519633, -1.4008559022830749, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1654	[-1.6020614144578542, -1.7357429487590705, 0.0020500000937317964, -2.4292036732051034]	[-1.659076027519633, -1.4008559022830749, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1655	[-1.9016967688291841, -1.6641981766875387, 0.0020500000937317964, -2.2292036732051033]	[-1.6020614144578542, -1.7357429487590705, 0.0020500000937317964, -2.4292036732051034]	Left	0.02
1656	[-1.70395484085058, -1.8171626494232185, 0.0020500000937317964, -2.029203673205103]	[-1.9016967688291841, -1.6641981766875387, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1657	[-1.9629602039104828, -1.8900750757043945, 0.0020500000937317964, -2.2292036732051033]	[-1.70395484085058, -1.8171626494232185, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1658	[-1.8264040650261504, -2.1221363196315157, 0.0020500000937317964, -2.2292036732051033]	[-1.9629602039104828, -1.8900750757043945, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1659	[-1.7327901386305766, -1.5843824496974848, 0.0020500000937317964, -2.6292036732051036]	[-1.6020614144578542, -1.7357429487590705, 0.0020500000937317964, -2.4292036732051034]	Left	0.02
1660	[-1.7425955312628127, -1.934102129262887, 0.0020500000937317964, -2.6292036732051036]	[-1.7327901386305766, -1.5843824496974848, 0.0020500000937317964, -2.6292036732051036]	Right	0.02
1661	[-1.4641710116801865, -1.4757694177567537, 0.0020500000937317964, -2.2292036732051033]	[-1.659076027519633, -1.4008559022830749, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1662	[-1.4641710116801865, -1.4757694177567537, 0.0020500000937317964, -2.4292036732051034]	[-1.659076027519633, -1.4008559022830749, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1663	[-1.7335342662391995, -1.3780789008506773, 0.0020500000937317964, -2.4292036732051034]	[-1.4641710116801865, -1.4757694177567537, 0.0020500000937317964, -2.4292036732051034]	Left	0.02
1664	[-1.6275819168960894, -1.2865687939297716, 0.0020500000937317964, -2.6292036732051036]	[-1.4641710116801865, -1.4757694177567537, 0.0020500000937317964, -2.4292036732051034]	Left	0.02
1665	[-1.5295297526279497, -1.4608839484124894, 0.0020500000937317964, -2.6292036732051036]	[-1.6275819168960894, -1.2865687939297716, 0.0020500000937317964, -2.6292036732051036]	Right	0.02
1666	[-1.5998004116183093, -1.2135743560286503, 0.0020500000937317964, -2.829203673205104]	[-1.5295297526279497, -1.4608839484124894, 0.0020500000937317964, -2.6292036732051036]	Left	0.02
1667	[-1.5162977326908362, -1.3374969366524625, 0.0020500000937317964, -2.029203673205103]	[-1.363497276021698, -1.4798065302914818, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1668	[-1.4165997292170802, -1.5874175402515793, 0.0020500000937317964, -2.029203673205103]	[-1.5162977326908362, -1.3374969366524625, 0.0020500000937317964, -2.029203673205103]	Right	0.02
1669	[-1.349049909748408, -1.676507505397772, 0.0020500000937317964, -2.029203673205103]	[-1.5162977326908362, -1.3374969366524625, 0.0020500000937317964, -2.029203673205103]	Right	0.02
1670	[-1.6301812949730534, -1.7942578524956554, 0.0020500000937317964, -2.2292036732051033]	[-1.349049909748408, -1.676507505397772, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1671	[-1.2750002591505596, -1.4471220078854645, 0.0020500000937317964, -2.029203673205103]	[-1.4115563980348917, -1.215060763958343, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1672	[-1.2109775579171298, -1.4460761939560238, 0.0020500000937317964, -2.029203673205103]	[-1.4115563980348917, -1.215060763958343, 0.0020500000937317964, -2.2292036732051033]	Right	0.02
1673	[-1.4617183885983578, -1.3892515881123597, 0.0020500000937317964, -1.8292036732051031]	[-1.2109775579171298, -1.4460761939560238, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1674	[-1.217676329189349, -1.639937593384712, 0.0020500000937317964, -2.029203673205103]	[-1.4617183885983578, -1.3892515881123597, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1675	[-1.5486567161508726, -1.632727638683037, 0.0020500000937317964, -1.8292036732051031]	[-1.217676329189349, -1.639937593384712, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1676	[-1.3944414567903198, -1.0673885635068199, 0.0020500000937317964, -1.8292036732051031]	[-1.1702518527067831, -1.178018674330533, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1677	[-1.2470792166392572, -1.2925204585764891, 0.0020500000937317964, -1.6292036732051032]	[-1.3944414567903198, -1.0673885635068199, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1678	[-1.3179580179230113, -0.722250861460537, 0.0020500000937317964, -1.4292036732051032]	[-1.0126321708418273, -0.6399336269093355, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1679	[-1.0507030926445184, -0.8255698089696325, 0.0020500000937317964, -1.6292036732051032]	[-1.3179580179230113, -0.722250861460537, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1680	[-1.0450582923221239, -0.8651695088336503, 0.0020500000937317964, -1.2292036732051033]	[-1.3179580179230113, -0.722250861460537, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1681	[-1.250677719986863, -1.1823770922342132, 0.0020500000937317964, -1.0292036732051033]	[-1.0450582923221239, -0.8651695088336503, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1682	[-0.9849053944624798, -1.139190624615742, 0.0020500000937317964, -1.2292036732051033]	[-1.250677719986863, -1.1823770922342132, 0.0020500000937317964, -1.0292036732051033]	Right	0.02
1683	[-1.1130519955681486, -1.3757882759672815, 0.0020500000937317964, -1.0292036732051033]	[-0.9849053944624798, -1.139190624615742, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1684	[-1.218128540343536, -0.7280882758032949, 0.0020500000937317964, -1.4292036732051032]	[-1.0126321708418273, -0.6399336269093355, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1685	[-0.9508736150650432, -0.8314072233123905, 0.0020500000937317964, -1.4292036732051032]	[-1.218128540343536, -0.7280882758032949, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1686	[-0.9706304161934247, -0.6928082737883281, 0.0020500000937317964, -1.4292036732051032]	[-1.218128540343536, -0.7280882758032949, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1687	[-0.9452288147426485, -0.8710069231764083, 0.0020500000937317964, -1.2292036732051033]	[-1.218128540343536, -0.7280882758032949, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1688	[-1.1338860588879864, -1.0866650884089966, 0.0020500000937317964, -1.4292036732051032]	[-0.9452288147426485, -0.8710069231764083, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1689	[-1.1508482424073878, -1.1882145065769711, 0.0020500000937317964, -1.0292036732051033]	[-0.9452288147426485, -0.8710069231764083, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1690	[-0.8422314792145572, -1.1192529703674265, 0.0020500000937317964, -0.8292036732051034]	[-1.1508482424073878, -1.1882145065769711, 0.0020500000937317964, -1.0292036732051033]	Right	0.02
1691	[-0.8681268498235991, -1.387076475275081, 0.0020500000937317964, -0.8292036732051034]	[-0.8422314792145572, -1.1192529703674265, 0.0020500000937317964, -0.8292036732051034]	Left	0.02
1692	[-0.5523438898840644, -1.2876726412855102, 0.0020500000937317964, -1.0292036732051033]	[-0.8681268498235991, -1.387076475275081, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1693	[-0.7611758975484191, -1.207740216232376, 0.0020500000937317964, -0.6292036732051034]	[-0.8681268498235991, -1.387076475275081, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1694	[-0.7243062117713568, -1.1739670572048186, 0.0020500000937317964, -0.6292036732051034]	[-0.8681268498235991, -1.387076475275081, 0.0020500000937317964, -0.8292036732051034]	Right	0.02
1695	[-1.1943967019276553, -1.0657256022900456, 0.0020500000937317964, -1.2292036732051033]	[-0.9452288147426485, -0.8710069231764083, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1696	[-0.9253423017449003, -1.0762007988179352, 0.0020500000937317964, -1.2292036732051033]	[-1.1943967019276553, -1.0657256022900456, 0.0020500000937317964, -1.2292036732051033]	Right	0.02
1697	[-1.0802879548630413, -1.237420662915982, 0.0020500000937317964, -1.2292036732051033]	[-0.9253423017449003, -1.0762007988179352, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1698	[-1.180997175921419, -1.103414495916792, 0.0020500000937317964, -1.4292036732051032]	[-0.9253423017449003, -1.0762007988179352, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1699	[-0.8839994269412854, -1.0610784934988318, 0.0020500000937317964, -1.6292036732051032]	[-1.180997175921419, -1.103414495916792, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1700	[-1.1916602397595724, -1.1833275190818233, 0.0020500000937317964, -1.8292036732051031]	[-0.8839994269412854, -1.0610784934988318, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1701	[-0.901620781985734, -1.2599898496898727, 0.0020500000937317964, -2.029203673205103]	[-1.1916602397595724, -1.1833275190818233, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1702	[-1.2054640658623441, -1.3107762538063061, 0.0020500000937317964, -1.8292036732051031]	[-0.901620781985734, -1.2599898496898727, 0.0020500000937317964, -2.029203673205103]	Left	0.02
1703	[-0.9745314761177379, -1.1345900441008452, 0.0020500000937317964, -1.6292036732051032]	[-1.180997175921419, -1.103414495916792, 0.0020500000937317964, -1.4292036732051032]	Right	0.02
1704	[-1.1823628113565496, -1.2626764840265947, 0.0020500000937317964, -1.8292036732051031]	[-0.9745314761177379, -1.1345900441008452, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1705	[-0.9383207519475409, -1.513362489298947, 0.0020500000937317964, -1.6292036732051032]	[-1.1823628113565496, -1.2626764840265947, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1706	[-1.282192288936025, -1.2568390696838367, 0.0020500000937317964, -1.8292036732051031]	[-0.9745314761177379, -1.1345900441008452, 0.0020500000937317964, -1.6292036732051032]	Left	0.02
1707	[-1.0177069413648698, -1.4301812195498322, 0.0020500000937317964, -1.8292036732051031]	[-1.282192288936025, -1.2568390696838367, 0.0020500000937317964, -1.8292036732051031]	Right	0.02
1708	[-1.053488902850569, -1.3127984501694747, 0.0020500000937317964, -1.0292036732051033]	[-0.9253423017449003, -1.0762007988179352, 0.0020500000937317964, -1.2292036732051033]	Left	0.02
1709	[-0.8916307107177036, -1.0217624976833937, 0.0020500000937317964, -1.0292036732051033]	[-1.1943967019276553, -1.0657256022900456, 0.0020500000937317964, -1.2292036732051033]	Right	0.02
