i	f_sup	f_swg	f_swg_id	traj_h
1778	[1.953114659415249, 1.6135489712193793, 0.0020500000937317964, -0.029203673205103253]	[1.9401242205011748, 1.8219506230766036, 0.0020500000937317964, -0.22920367320510326]	Left	0.02
1779	[1.883323696827903, 1.5784887153570548, 0.0020500000937317964, -0.22920367320510326]	[1.9401242205011748, 1.8219506230766036, 0.0020500000937317964, -0.22920367320510326]	Left	0.02
1780	[2.076462888824122, 1.7901423298195716, 0.0020500000937317964, -0.029203673205103253]	[1.883323696827903, 1.5784887153570548, 0.0020500000937317964, -0.22920367320510326]	Right	0.02
1781	[1.9303944499459404, 1.5161642081315598, 0.0020500000937317964, -0.4292036732051033]	[1.9401242205011748, 1.8219506230766036, 0.0020500000937317964, -0.22920367320510326]	Left	0.02
1782	[2.1461682435926512, 1.74733875252455, 0.0020500000937317964, -0.6292036732051033]	[1.9303944499459404, 1.5161642081315598, 0.0020500000937317964, -0.4292036732051033]	Right	0.02
1783	[2.013623817255369, 1.6980236934966961, 0.0020500000937317964, -0.22920367320510326]	[1.9303944499459404, 1.5161642081315598, 0.0020500000937317964, -0.4292036732051033]	Right	0.02
1784	[2.088989004692267, 1.7185197546451518, 0.0020500000937317964, -0.6292036732051033]	[1.9303944499459404, 1.5161642081315598, 0.0020500000937317964, -0.4292036732051033]	Right	0.02
1785	[1.242329727261253, 1.9257967638219602, 0.0020500000937317964, 0.17079632679489676]	[1.2205515815688435, 1.595454952405058, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
1786	[1.2848215129863132, 1.6794343313248452, 0.0020500000937317964, 0.17079632679489676]	[1.242329727261253, 1.9257967638219602, 0.0020500000937317964, 0.17079632679489676]	Left	0.02
1787	[1.0655919050804348, 1.6702045253978703, 0.0020500000937317964, 0.17079632679489676]	[1.099585333660483, 1.4731145794001783, 0.0020500000937317964, 0.17079632679489676]	Right	0.02
1788	[1.0404583498611755, 1.462916550826164, 0.0020500000937317964, -0.029203673205103253]	[1.0655919050804348, 1.6702045253978703, 0.0020500000937317964, 0.17079632679489676]	Left	0.02
1789	[1.049218206551562, 1.7627886317386154, 0.0020500000937317964, -0.029203673205103253]	[1.0404583498611755, 1.462916550826164, 0.0020500000937317964, -0.029203673205103253]	Right	0.02
1790	[0.7939735230136231, 1.3525257961802055, 0.0020500000937317964, -0.22920367320510326]	[0.6213501550414744, 1.6076751109548137, 0.0020500000937317964, -0.029203673205103253]	Left	0.02
1791	[0.8507740466868948, 1.5959877038997543, 0.0020500000937317964, -0.22920367320510326]	[0.7939735230136231, 1.3525257961802055, 0.0020500000937317964, -0.22920367320510326]	Right	0.02
1792	[0.9303121913365704, 1.3207175029231732, 0.0020500000937317964, -0.4292036732051033]	[0.8507740466868948, 1.5959877038997543, 0.0020500000937317964, -0.22920367320510326]	Left	0.02
1793	[0.7355426651609314, 1.3661579218617907, 0.0020500000937317964, -0.4292036732051033]	[0.8507740466868948, 1.5959877038997543, 0.0020500000937317964, -0.22920367320510326]	Left	0.02
1794	[0.8733298780799007, 1.5230485970340986, 0.0020500000937317964, -0.22920367320510326]	[0.7355426651609314, 1.3661579218617907, 0.0020500000937317964, -0.4292036732051033]	Right	0.02
1795	[0.9139141174944485, 1.256866479845241, 0.0020500000937317964, -0.4292036732051033]	[0.8733298780799007, 1.5230485970340986, 0.0020500000937317964, -0.22920367320510326]	Left	0.02
1796	[1.0933160140681322, 1.5046868977001169, 0.0020500000937317964, -0.6292036732051033]	[0.9139141174944485, 1.256866479845241, 0.0020500000937317964, -0.4292036732051033]	Right	0.02
