i	f_sup	f_swg	f_swg_id	traj_params	h_max
25	[-2.273988498051775, 3.485202114328449, 0.20000000670552254, 2.1707963267948966]	[-2.3600056747584057, 3.256726633562087, 0.20000000670552254, 2.1707963267948966]	Left	[-5.246644183077675, 2.2442768135313806]	0.24
26	[-2.5181055673090156, 3.487820605736797, 0.20000000670552254, 2.1707963267948966]	[-2.273988498051775, 3.485202114328449, 0.20000000670552254, 2.1707963267948966]	Right	[-12.244897959183668, 3.4285714285714275]	0.24
27	[-2.3682359109210998, 3.7115147855765236, 0.20000000670552254, 2.1707963267948966]	[-2.5181055673090156, 3.487820605736797, 0.20000000670552254, 2.1707963267948966]	Left	[-15.973377703826948, 3.9159216789504194]	0.24
28	[-2.631034061988023, 3.6528877287187327, 0.20000000670552254, 2.1707963267948966]	[-2.3682359109210998, 3.7115147855765236, 0.20000000670552254, 2.1707963267948966]	Right	[-23.999999999999943, 4.7999999999999945]	0.24
29	[-2.3908216098569013, 3.744528210172911, 0.20000000670552254, 2.1707963267948966]	[-2.631034061988023, 3.6528877287187327, 0.20000000670552254, 2.1707963267948966]	Left	[-599.9999999999926, 23.999999999999854]	0.24
30	[-2.589767281242539, 3.6811198523884845, 0.20000000670552254, 2.1707963267948966]	[-2.3908216098569013, 3.744528210172911, 0.20000000670552254, 2.1707963267948966]	Right	[-384.00000000000335, 19.200000000000085]	0.24
31	[-2.3908216098569013, 3.744528210172911, 0.20000000670552254, 1.9707963267948967]	[-2.589767281242539, 3.6811198523884845, 0.20000000670552254, 2.1707963267948966]	Left	[0]	0
32	[-2.667139908057767, 3.627702707480316, 0.20000000670552254, 1.9707963267948967]	[-2.3908216098569013, 3.744528210172911, 0.20000000670552254, 1.9707963267948967]	Right	[-108.59833234855971, 10.210504348689996]	0.24
33	[-2.4141867103954207, 3.799791869813084, 0.20000000670552254, 1.7707963267948967]	[-2.667139908057767, 3.627702707480316, 0.20000000670552254, 1.9707963267948967]	Left	[-266.6666666666646, 15.999999999999938]	0.24
34	[-2.630066959043175, 3.858064661438196, 0.20000000670552254, 1.9707963267948967]	[-2.4141867103954207, 3.799791869813084, 0.20000000670552254, 1.7707963267948967]	Right	[-17.633757855042695, 4.114414604878924]	0.24
