i	f_sup	f_swg	f_swg_id	traj_params	h_max
417	[-2.4220760989859813, 6.8076935347839544, 0.4999999888241291, 1.9707963267948965]	[-2.629653398325077, 6.785073525962398, 0.4999999888241291, 1.9707963267948965]	Left	[-145.17773701389504, 11.805533767404981]	0.24
418	[-2.660806865709769, 6.858758405482629, 0.4999999888241291, 2.1707963267948966]	[-2.4220760989859813, 6.8076935347839544, 0.4999999888241291, 1.9707963267948965]	Right	[-149.99999999999946, 11.999999999999979]	0.24
419	[-2.625607511608692, 7.1615140915908615, 0.600000012665987, 1.9707963267948967]	[-2.660806865709769, 6.858758405482629, 0.4999999888241291, 2.1707963267948966]	Left	[-4.561440517594207, 2.1068938946834215]	0.24
420	[-2.3299699995856926, 6.84663536901482, 0.4999999888241291, 2.1707963267948966]	[-2.629653398325077, 6.785073525962398, 0.4999999888241291, 1.9707963267948965]	Left	[-44.89483182164528, 6.564985799587038]	0.24
421	[-2.609786465245571, 6.687066868178274, 0.4999999888241291, 1.9707963267948965]	[-2.413773149677323, 6.726800734337286, 0.4999999888241291, 1.7707963267948965]	Right	[-32.43243243243237, 5.57988665970332]	0.24
422	[-2.375837093753566, 5.759609430794764, 0.3999999947845936, 1.7707963267948965]	[-2.1308204492932554, 5.8092767634935285, 0.3999999947845936, 1.7707963267948965]	Right	[-79.65643057212459, 8.744722599902161]	0.24
423	[-2.1308204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	[-2.3808204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Left	[-384.00000000000273, 19.200000000000067]	0.24
424	[-2.4308204492932552, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	[-2.1308204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Right	[-157.37704918032952, 12.291540473558078]	0.24
425	[-2.3808204492932554, 5.8092767634935285, 0.3999999947845936, 1.7707963267948965]	[-2.1308204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Right	[-266.66666666667015, 16.000000000000103]	0.24
426	[-2.3808204492932554, 5.8092767634935285, 0.3999999947845936, 1.3707963267948966]	[-2.1308204492932554, 5.869276763493528, 0.3999999947845936, 1.5707963267948966]	Right	[-266.66666666667015, 16.000000000000103]	0.24
